concept,element,estadistico,breakdown,category,measure,wave,value
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2008,28.47847160405556
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2008,26.560048646414604
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2008,33.20102948350696
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2008,46.43468653998828
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2008,63.39580687700338
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2008,23.19654903616996
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2005,31.775798111817
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2005,40.48596848316776
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2005,52.58329872773043
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2005,99.36864525991751
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2005,25.488481552612114
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2005,25.76921095701196
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2005,32.63240156820302
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2005,44.43381507046902
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2005,68.52482854669067
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2005,20.054975451563028
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2002,34.21673188137755
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2002,42.49913922380818
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2002,57.48778149040833
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2002,95.41655391448867
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2002,29.001220677634954
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2002,27.09558790161444
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2002,35.87847423386596
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2002,45.98064031819249
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2002,73.20439945200182
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2002,24.31654515035424
